Age,Academic Performance (GPA),Study Hours Per Week,Social_Media_Usage_per_week,Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Counseling Attendance,Diet Quality,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use,Gender_Female,Gender_Male,Gender_Other,Stress_Ratio,Stress Level Category
19,1,27,35,6,10,1,1,5,4,0,1,2,0,0,4,0,0,1,0.9999900000999989,Low
28,2,39,0,11,5,5,5,5,2,1,5,2,0,1,3,0,0,0,0.9999980000040001,Medium
30,4,31,21,12,10,3,4,3,2,0,4,4,0,0,3,0,1,0,1.3333288889037036,Medium
20,0,33,7,4,9,1,1,2,3,1,3,5,1,0,1,0,0,0,0.9999900000999989,Low
26,1,41,35,8,8,5,5,4,4,1,1,5,1,0,5,0,0,1,0.9999980000040001,Medium
26,2,13,56,5,0,5,3,2,3,0,2,2,1,0,2,0,0,1,0.5999988000024,Low
30,1,15,35,4,2,3,2,1,4,1,1,1,0,1,2,0,0,0,0.6666644444518518,Low
23,1,35,7,9,6,4,5,1,2,1,4,5,1,1,5,0,0,0,1.2499968750078125,Low
30,0,20,49,12,8,4,4,3,3,0,4,4,1,1,4,0,0,1,0.9999975000062501,Low
23,1,59,7,7,2,1,4,4,2,0,1,1,0,1,3,1,0,0,3.9999600003999958,Medium
19,1,35,35,11,0,2,2,4,4,0,5,3,0,1,2,0,1,0,0.9999950000249999,High
30,1,39,49,10,5,1,3,3,1,1,5,1,0,0,1,0,1,0,2.9999700002999967,Medium
24,0,43,21,4,0,1,5,5,5,1,2,2,0,0,3,0,0,1,4.999950000499995,Low
24,3,24,42,12,5,2,2,1,2,1,5,2,0,0,3,0,1,0,0.9999950000249999,High
20,3,18,0,10,10,3,4,4,4,1,1,1,0,1,4,1,0,0,1.3333288889037036,High
25,3,57,56,10,3,5,2,1,4,1,2,5,0,1,4,0,0,1,0.39999920000160005,Low
24,2,29,28,7,5,2,2,1,1,1,3,1,0,0,3,1,0,0,0.9999950000249999,Medium
30,2,30,14,4,8,1,4,3,2,0,3,3,0,1,2,0,0,1,3.9999600003999958,Low
27,2,30,7,10,8,2,2,5,4,1,1,4,0,0,3,0,0,1,0.9999950000249999,High
28,3,43,28,9,6,4,4,1,3,0,3,3,1,1,3,0,0,1,0.9999975000062501,Low
21,0,34,0,5,6,4,4,2,3,0,2,1,0,0,3,1,0,0,0.9999975000062501,Low
29,0,22,35,9,0,4,4,4,1,0,2,4,1,1,1,0,0,0,0.9999975000062501,Medium
21,1,3,14,9,6,5,2,1,1,1,1,2,1,0,3,0,0,1,0.39999920000160005,Medium
21,3,-11,21,4,7,5,3,5,5,1,4,4,1,1,3,1,0,0,0.5999988000024,Medium
26,4,26,7,6,2,3,2,1,5,0,3,1,0,0,3,0,0,0,0.6666644444518518,Low
20,1,16,35,4,3,3,5,5,5,1,4,2,0,0,2,0,0,1,1.6666611111296294,Medium
24,4,54,49,12,4,2,1,5,1,0,3,5,1,0,1,1,0,0,0.49999750001249993,Medium
19,0,17,28,10,10,2,4,2,5,1,4,4,0,1,4,0,0,1,1.9999900000499997,Low
23,4,55,21,7,2,1,5,4,5,1,3,5,0,1,1,0,0,1,4.999950000499995,High
27,4,24,56,5,0,2,4,4,5,0,2,4,1,0,4,0,1,0,1.9999900000499997,High
20,1,18,7,10,10,2,2,3,2,1,4,1,1,1,2,0,0,1,0.9999950000249999,Medium
20,3,22,42,4,10,2,2,1,3,1,5,2,0,1,3,0,0,1,0.9999950000249999,Low
18,3,41,28,9,0,5,3,4,3,0,3,5,1,0,1,0,0,1,0.5999988000024,Low
26,3,32,49,8,8,4,5,3,1,0,3,1,0,1,2,0,0,1,1.2499968750078125,Low
21,1,54,7,9,7,4,1,1,1,0,1,2,0,1,5,0,0,1,0.24999937500156252,Low
27,3,31,7,7,0,3,1,5,5,1,3,5,0,0,1,0,0,1,0.3333322222259259,Medium
27,0,31,0,8,0,2,3,1,2,0,4,2,0,1,2,1,0,0,1.4999925000374998,High
18,2,19,7,5,4,3,2,1,5,1,1,5,1,1,5,0,1,0,0.6666644444518518,Medium
27,3,29,28,4,2,1,4,4,4,0,3,3,0,0,5,0,0,0,3.9999600003999958,High
24,3,17,35,11,9,3,4,2,3,1,5,3,1,1,4,0,0,1,1.3333288889037036,High
22,4,29,49,9,4,4,5,4,5,0,5,3,1,0,3,0,0,0,1.2499968750078125,Low
20,3,23,0,4,1,4,5,5,1,0,1,2,1,1,4,0,0,1,1.2499968750078125,High
23,1,40,7,5,5,4,3,2,5,0,2,5,0,1,5,0,0,0,0.7499981250046875,Medium
26,0,16,28,6,4,5,1,4,5,1,2,1,1,1,5,0,0,1,0.19999960000080003,Medium
23,0,29,7,8,7,3,4,1,3,0,5,5,1,0,4,0,0,0,1.3333288889037036,High
29,2,21,35,11,2,1,5,2,2,0,3,2,1,0,5,0,0,0,4.999950000499995,Medium
22,2,23,35,4,4,3,1,1,1,0,2,3,0,1,2,0,0,0,0.3333322222259259,High
28,0,14,42,8,1,2,4,4,2,1,1,1,1,0,3,0,1,0,1.9999900000499997,High
27,1,-4,0,8,4,4,1,2,1,0,2,2,1,1,5,1,0,0,0.24999937500156252,High
28,2,37,28,11,4,5,5,3,3,0,5,3,0,0,1,0,1,0,0.9999980000040001,High
26,3,54,14,6,0,2,1,1,2,0,3,5,1,1,2,0,0,1,0.49999750001249993,Medium
21,0,34,49,9,1,1,4,1,4,1,5,3,1,0,4,0,1,0,3.9999600003999958,High
30,2,41,0,5,2,2,3,1,4,0,3,1,0,1,1,0,0,0,1.4999925000374998,High
22,0,37,7,11,1,3,5,3,2,1,1,4,1,1,5,0,0,0,1.6666611111296294,Medium
29,2,31,14,11,5,5,4,3,2,1,4,4,1,1,4,0,0,0,0.7999984000032001,Low
23,4,25,49,5,0,2,4,1,3,1,3,3,1,0,2,1,0,0,1.9999900000499997,High
23,4,8,14,11,2,3,4,3,5,1,1,3,0,0,4,0,0,0,1.3333288889037036,Medium
24,4,17,42,7,8,2,2,1,4,1,5,1,1,1,2,0,0,0,0.9999950000249999,Low
21,2,55,14,8,4,5,5,1,1,1,3,1,0,0,2,0,0,0,0.9999980000040001,Medium
19,3,53,42,12,4,3,1,1,4,1,4,4,0,0,2,0,0,1,0.3333322222259259,Low
26,3,23,28,11,9,5,4,5,2,0,2,3,0,1,1,0,0,0,0.7999984000032001,Medium
19,0,36,7,7,3,2,4,3,1,0,2,1,1,0,5,0,0,1,1.9999900000499997,Low
18,4,34,35,6,3,1,3,2,1,0,1,3,0,0,5,1,0,0,2.9999700002999967,Medium
30,1,6,56,5,9,2,1,5,4,1,3,4,1,1,5,0,0,1,0.49999750001249993,Low
24,3,39,28,9,6,4,3,4,2,0,5,5,0,0,5,0,0,0,0.7499981250046875,Medium
20,2,-7,14,5,8,2,3,5,1,1,2,3,1,1,4,1,0,0,1.4999925000374998,High
24,1,18,0,5,6,3,2,4,2,0,5,1,1,1,4,0,0,0,0.6666644444518518,Medium
26,2,31,42,8,4,1,1,4,3,0,4,5,0,1,5,0,0,1,0.9999900000999989,Medium
25,4,48,35,4,6,1,5,2,3,1,1,3,1,0,5,0,0,1,4.999950000499995,High
20,1,2,0,4,2,4,3,3,2,1,2,1,0,1,2,0,0,0,0.7499981250046875,Low
30,3,57,28,9,2,3,5,3,4,1,4,2,1,0,2,0,0,1,1.6666611111296294,High
19,4,-14,14,12,2,2,1,1,5,1,5,1,1,1,5,0,0,1,0.49999750001249993,Low
22,2,21,28,12,9,5,3,4,1,1,1,4,1,0,2,0,1,0,0.5999988000024,Medium
21,4,32,35,7,2,2,1,4,5,0,5,5,0,0,5,0,0,1,0.49999750001249993,Low
28,4,9,49,5,0,5,3,1,1,0,2,1,1,1,1,0,0,0,0.5999988000024,High
18,3,39,14,7,5,4,4,5,3,0,2,2,1,0,1,0,1,0,0.9999975000062501,Low
20,1,15,0,10,10,3,2,5,4,0,1,1,0,1,2,0,0,0,0.6666644444518518,High
23,3,37,0,4,9,5,3,5,2,0,5,5,0,0,3,0,0,0,0.5999988000024,Low
29,0,28,56,4,4,4,5,4,3,1,4,2,1,0,5,0,0,0,1.2499968750078125,Medium
20,1,21,7,8,8,1,5,5,2,0,2,2,1,1,4,0,1,0,4.999950000499995,Low
22,0,10,42,9,8,1,1,4,2,0,1,5,1,1,2,0,0,0,0.9999900000999989,High
21,0,40,49,4,2,1,1,5,1,1,2,5,0,1,2,0,0,1,0.9999900000999989,Low
22,2,26,21,12,1,1,3,5,2,0,1,2,0,1,1,0,0,0,2.9999700002999967,High
30,4,37,14,5,0,3,4,1,4,0,4,5,0,1,4,1,0,0,1.3333288889037036,High
23,3,-12,49,5,2,1,3,1,5,0,4,2,1,0,1,0,1,0,2.9999700002999967,High
19,2,38,49,4,6,3,3,5,3,0,4,5,1,1,5,0,0,1,0.9999966666777778,Low
20,1,2,35,4,7,5,3,4,4,1,4,4,1,0,1,0,0,0,0.5999988000024,High
30,1,-4,7,9,6,4,1,5,4,1,1,2,1,0,5,0,0,1,0.24999937500156252,High
25,2,58,35,11,5,4,3,5,5,1,4,2,0,1,3,1,0,0,0.7499981250046875,High
24,2,36,35,4,1,1,1,4,1,0,3,5,1,1,4,0,0,0,0.9999900000999989,Medium
25,3,17,7,5,0,1,1,5,2,0,5,2,0,0,4,1,0,0,0.9999900000999989,Low
26,2,31,21,9,4,2,3,3,3,0,3,5,0,1,5,0,1,0,1.4999925000374998,High
23,1,37,14,8,1,4,3,5,1,0,3,3,0,0,3,0,0,0,0.7499981250046875,High
29,3,43,28,8,5,5,2,1,4,1,1,5,0,0,1,1,0,0,0.39999920000160005,Low
21,4,-9,7,9,7,4,4,3,2,0,5,1,0,1,5,0,0,0,0.9999975000062501,High
28,3,32,42,10,2,1,5,4,4,1,5,4,0,0,1,0,0,0,4.999950000499995,High
29,2,12,49,5,10,5,2,4,3,0,3,3,0,1,4,0,1,0,0.39999920000160005,Low
30,4,40,35,6,7,1,2,5,1,1,2,1,1,0,5,0,0,1,1.9999800001999979,Medium
22,1,47,49,8,5,2,4,4,2,0,3,2,0,1,1,0,0,0,1.9999900000499997,Low
24,3,28,14,11,7,5,1,4,4,1,5,3,1,0,1,0,0,0,0.19999960000080003,Medium
18,1,41,14,4,8,4,5,3,2,0,5,3,1,1,1,0,1,0,1.2499968750078125,Medium
23,2,12,56,5,0,4,2,2,3,0,5,1,0,0,5,0,0,0,0.49999875000312505,Low
30,3,19,56,10,1,1,2,5,5,1,5,2,1,1,1,1,0,0,1.9999800001999979,High
24,1,3,49,6,5,1,1,4,2,1,1,3,1,1,1,0,1,0,0.9999900000999989,High
18,3,9,0,10,4,4,1,3,4,1,4,4,0,1,2,0,0,1,0.24999937500156252,High
26,1,35,49,11,2,3,1,3,4,1,5,3,1,1,5,0,1,0,0.3333322222259259,High
26,0,34,28,8,3,1,1,1,1,1,2,4,0,0,1,0,0,0,0.9999900000999989,High
27,2,15,28,10,4,3,4,5,1,1,2,4,0,0,2,0,0,1,1.3333288889037036,High
22,2,17,14,11,3,2,1,3,2,1,2,4,1,0,5,0,0,1,0.49999750001249993,Medium
18,1,3,35,6,2,3,4,3,2,1,4,3,0,0,2,0,0,0,1.3333288889037036,Low
21,0,27,21,8,9,4,5,5,1,1,1,1,1,1,5,1,0,0,1.2499968750078125,Medium
29,1,28,56,11,8,1,5,5,4,1,5,2,1,1,4,0,0,0,4.999950000499995,Medium
30,1,49,49,5,1,1,2,2,1,0,2,3,1,1,4,0,1,0,1.9999800001999979,High
20,3,15,7,7,7,2,4,4,2,0,4,2,1,0,5,0,1,0,1.9999900000499997,High
20,4,12,42,4,3,4,5,1,1,1,5,1,1,1,2,0,1,0,1.2499968750078125,Medium
22,0,53,49,7,0,5,3,4,5,0,1,5,1,1,4,0,0,0,0.5999988000024,High
19,4,25,14,8,6,2,5,3,3,0,1,5,1,0,1,0,0,1,2.4999875000625,High
25,2,45,42,7,1,1,3,4,1,0,1,5,1,0,2,0,0,1,2.9999700002999967,High
18,1,0,7,8,2,3,3,1,3,0,1,2,1,0,1,0,1,0,0.9999966666777778,High
29,2,40,28,11,5,1,2,2,5,0,3,1,1,0,2,0,0,0,1.9999800001999979,High
22,1,61,28,7,0,1,2,4,1,0,1,4,1,0,1,0,1,0,1.9999800001999979,Low
23,3,24,7,8,8,2,2,2,4,1,5,5,0,0,2,1,0,0,0.9999950000249999,High
30,0,61,14,8,1,3,2,4,2,0,2,4,1,0,5,0,0,0,0.6666644444518518,Low
19,4,17,49,12,5,5,3,1,2,0,5,5,1,0,1,0,0,1,0.5999988000024,High
23,0,31,14,11,1,5,4,3,1,0,5,1,1,0,2,0,0,0,0.7999984000032001,High
28,2,17,56,9,1,3,2,3,2,0,5,3,0,0,3,0,1,0,0.6666644444518518,Low
25,1,39,21,8,1,5,4,5,3,1,1,4,0,1,1,0,0,0,0.7999984000032001,Low
20,0,47,42,10,8,1,4,2,1,1,4,4,0,1,2,1,0,0,3.9999600003999958,High
29,1,24,14,9,3,1,4,1,1,0,1,3,1,0,4,0,0,1,3.9999600003999958,Medium
20,2,50,28,10,1,3,2,1,3,1,3,2,1,0,1,0,0,0,0.6666644444518518,High
20,0,3,14,5,10,3,3,3,4,1,2,3,1,0,3,0,0,1,0.9999966666777778,High
26,0,28,14,5,8,2,4,5,1,1,3,4,0,0,4,0,0,0,1.9999900000499997,High
19,4,46,42,5,8,2,2,4,3,1,4,5,0,0,5,1,0,0,0.9999950000249999,Low
30,2,9,35,8,8,3,2,1,3,1,1,1,0,0,1,0,0,1,0.6666644444518518,Low
28,4,18,49,5,5,1,2,2,3,1,5,5,1,0,4,1,0,0,1.9999800001999979,High
30,3,26,28,5,5,4,5,2,1,1,3,3,1,0,5,0,0,1,1.2499968750078125,High
22,0,36,49,6,2,5,3,2,5,0,1,1,0,0,3,1,0,0,0.5999988000024,Medium
19,4,27,7,4,9,1,2,3,5,1,3,5,1,0,1,0,0,1,1.9999800001999979,Medium
